υ(7-1),I(7-1),υ(7-8),I(7-8),υ(7-9),I(7-9),NPA1,NPA2,NPA3,NPA4,NPA5,NPA6,NPA7,NPA8,NPA9,NMR1,NMR2,NMR3,NMR4,NMR5,NMR6,NMR7,NMR8,NMR9,A(6-1-7),A(2-1-7),A(1-7-9),A(1-7-8),A(8-7-9),A(7-8-11),A(7-8-10),A(10-8-11),D(6-1-7-8),D(2-1-7-9),D(2-1-7-8),D(5-6-1-7),D(3-2-1-7),D(1-7-8-11),D(9-7-8-11),D(1-7-8-10),D(9-7-8-10),AD(7-8),AD(7-1),AD(6-8),AD(2-7),AD(7-9),fp(1),fm(1),fp(7),fm(7),fp(8),fm(8),fp(9),fm(9),L-R1,B1-R1,B5-R1,L-R2,B1-R2,B5-R2,L-R3,B1-R3,B5-R3,iso
1250.89,9.9,1764.54,72.43,3205.75,11.04,-0.0244,-0.2117,-0.2002,-0.3481,-0.2064,0.0756,-0.2857,-0.1546,0.2622,44.0431,52.245,52.7685,43.2037,60.136,34.2139,60.5616,41.3374,24.5471,125.0142,118.5944,115.4275,124.6651,119.7135,124.2491,119.5248,116.2198,36.4483,34.7087,140.195,173.3605,175.2914,177.3915,2.6916,1.6591,176.359,1.3358,1.473,3.118,2.4735,1.0885,-0.1049,0.0416,0.0159,-0.2536,-0.0654,-0.2497,-0.0271,-0.0414,3,1.52,2.04,2.06,1,1,8.84,2.45,4.81,0
1263.07,5.02,1762.55,50.48,3194.79,11.64,-0.0813,-0.1134,-0.2602,-0.2449,-0.2505,-0.2283,-0.2825,0.0259,0.2529,45.286,48.5559,52.4436,57.0664,57.9064,51.7599,59.8324,43.2643,24.7292,121.3726,122.0847,115.4646,126.8083,117.7248,120.2883,125.1421,114.5574,44.9028,41.5353,137.8986,178.6873,178.483,177.7818,2.7956,3.5606,175.8621,1.3422,1.4756,3.1355,2.5184,1.0884,-0.1534,-0.0175,-0.0074,-0.177,-0.1442,-0.2237,-0.0365,-0.0365,3,1.52,2.04,3,1.52,2.04,6.37,1.63,4.83,0
1256.68,5.45,1759.15,81.57,3187.55,18.32,-0.0379,-0.2311,-0.219,0.0327,-0.2208,-0.2289,-0.2789,-0.1641,0.2487,38.3991,54.565,60.3488,39.8606,60.8455,61.5796,55.1906,49.7559,24.695,123.1809,118.3929,115.0087,126.451,118.5403,123.937,120.0274,116.0356,0.04,0.0334,179.9594,179.9951,179.9954,179.9967,0.0041,0.0016,179.991,1.3381,1.4709,3.037,2.4696,1.0896,-0.118,0.0039,0.021,-0.1806,-0.0902,-0.2485,-0.0174,-0.0382,3,1.52,2.04,2.06,1,1,7.63,1.5,3.24,1
1551.85,30.69,1739.04,361.56,3198.59,1.52,-0.1036,-0.2187,-0.2537,-0.2403,-0.2518,-0.2192,-0.1533,-0.3584,0.2624,50.7724,51.0397,55.6666,53.0048,55.841,59.5743,35.6235,68.9263,23.3449,122.653,118.5963,115.9856,126.8687,117.1457,119.4303,123.5289,117.0408,0.0142,0.0131,179.9856,179.9991,179.9989,179.9992,0.0005,0.0001,179.9987,1.3396,1.467,3.0299,2.4662,1.0896,-0.0137,-0.1375,-0.1629,-0.0034,-0.1399,-0.2362,-0.0386,-0.031,4.88,1.62,3.42,2.06,1,1,6.28,3.11,3.11,1
1260.22,608.62,1742.25,341.45,3210.46,0.06,-0.1007,-0.2028,-0.2625,-0.0504,-0.2607,-0.2026,-0.1572,-0.3523,0.2648,51.4145,49.7356,55.9256,42.8334,55.9083,58.0797,37.2876,67.8733,23.4221,122.8165,118.5517,115.9552,126.824,117.2208,119.3165,123.6426,117.0409,0.0034,0.0029,179.9968,180,180,179.9999,0.0003,0.0003,180,1.3391,1.4665,3.0313,2.4647,1.0892,-0.0245,-0.1307,-0.1479,-0.0049,-0.1424,-0.2266,-0.0373,-0.0299,4.88,1.62,3.42,2.06,1,1,7.76,1.5,3.26,1
1261.38,582.57,1742.98,342.81,3210.52,2.99,-0.0991,-0.2026,-0.2592,-0.1282,-0.2575,-0.2025,-0.1577,-0.3514,0.2649,51.0106,49.6324,52.433,45.3405,52.5771,58.0165,37.2872,67.7848,23.4302,122.8591,118.5563,115.9339,126.8264,117.2397,119.3419,123.668,116.9901,0.0022,0.0041,179.9986,179.9993,179.9997,179.9996,0.0023,0.0027,180,1.3391,1.4666,3.0322,2.4648,1.0892,-0.0255,-0.1281,-0.1472,-0.006,-0.143,-0.225,-0.0376,-0.0299,4.88,1.62,3.42,2.06,1,1,8.06,1.5,3.24,1
1253.92,219.45,1743.66,130.8,3209.87,1.08,-0.0936,-0.2256,-0.2529,-0.2475,-0.2519,-0.2337,-0.1705,-0.1349,0.2672,48.1853,53.3819,56.1096,55.6314,56.9182,54.7573,40.928,55.0687,23.1403,122.8344,118.5388,115.5811,128.0508,116.3552,115.3178,126.7017,117.9676,35.9626,32.2407,146.3927,179.1897,179.9183,177.6424,3.7332,3.6974,174.927,1.3446,1.471,3.1393,2.4706,1.0888,-0.0183,-0.1167,-0.1654,-0.0327,-0.1258,-0.2101,-0.0377,-0.0346,4.88,1.62,3.42,3,1.52,2.04,6.28,3.11,3.11,1
1254.93,212.62,1745.81,119.83,3206.92,0.3,-0.0909,-0.2086,-0.2621,-0.0548,-0.261,-0.2171,-0.1746,-0.1291,0.2695,48.8757,51.6574,56.2473,45.1225,57.0579,53.2785,42.5887,53.9033,23.2029,122.9551,118.5606,115.5217,127.9811,116.4851,115.2184,126.7785,117.9903,35.4874,31.6798,146.9976,179.1036,179.7947,177.6876,3.6459,3.6473,175.0191,1.3443,1.4704,3.1372,2.4699,1.0886,-0.0315,-0.1103,-0.1467,-0.034,-0.128,-0.2025,-0.0366,-0.0334,4.88,1.62,3.42,3,1.52,2.04,7.76,1.5,3.26,1
1255.45,189.54,1746.55,119.88,3203.49,0.35,-0.0893,-0.2084,-0.2588,-0.1317,-0.2577,-0.2167,-0.1751,-0.1285,0.2697,48.4677,51.4969,52.9308,47.7509,53.6394,53.1394,42.6498,53.702,23.1952,122.9515,118.6029,115.4903,128.0188,116.4823,115.1991,126.8042,117.9854,35.3285,31.5362,147.3559,178.6806,179.3925,177.3934,3.7239,3.8616,175.0211,1.3443,1.4704,3.1371,2.4704,1.0886,-0.0325,-0.1074,-0.1457,-0.0354,-0.1286,-0.2015,-0.0369,-0.0334,4.88,1.62,3.42,3,1.52,2.04,8.09,1.72,3.36,1
1338.17,378.38,1743.35,127.3,3208.46,1.4,-0.1088,-0.2071,-0.3225,0.4368,-0.3218,-0.2155,-0.1705,-0.1358,0.2679,52.5997,50.5781,69.9914,24.1139,70.8883,52.3523,41.9645,55.4378,23.1771,122.9834,118.4629,115.5136,128.1101,116.3631,115.264,126.6775,118.044,35.2177,31.4685,147.1492,179.2856,179.981,177.7531,3.6392,3.6659,174.9418,1.3447,1.4701,3.1395,2.4692,1.0887,-0.0123,-0.128,-0.1735,-0.0232,-0.1268,-0.2045,-0.0383,-0.0344,4.88,1.62,3.42,3,1.52,2.04,6.92,1.5,3.36,1
